id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Latitude;Longitude;Vorstadt;Viertel;reference;Grundobrigkeit
65;Porzellangasse 137;137;"77;78;79";;K. K. Porzellanfabrik;Porzellangasse;48.2247448;16.3614747;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
66;Porzellangasse 60;60;74;;K. K. Landschaftsstadl;Porzellangasse;48.2242502;16.3616538;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
67;Porzellangasse 61;61;73;;;Porzellangasse;48.2238934;16.3616208;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
68;Porzellangasse 136;136;80;;;Porzellangasse;48.2239513;16.3613704;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
69;Porzellangasse 135;135;81;;;Porzellangasse;48.2236779;16.3613461;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
70;Färbergasse 132;132;83;;;Färbergasse;48.2234427;16.3613026;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
71;Porzellangasse 62;62;0;;;Porzellangasse;48.2235169;16.3615738;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
72;Porzellangasse 63;63;72;;;Porzellangasse;48.2232087;16.3615199;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
73;Pramergasse 64;64;55;;;Pramergasse;48.22275;16.361386;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
74;Porzellangasse 134;134;82;;;Porzellangasse;48.2230269;16.3612661;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
75;Porzellangasse 133;133;0;;;Porzellangasse;48.2226747;16.3611148;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
76;Färbergasse 132;132;83;;;Färbergasse;48.222114;16.3606888;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
77;Pramergasse 65;65;54;;;Pramergasse;48.2224314;16.3623285;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
78;Pramergasse 66;66;53;;;Pramergasse;48.2224106;16.3624485;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
79;Pramergasse 67;67;52;;;Pramergasse;48.2223283;16.3627667;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
80;Pramergasse 68;68;51;;;Pramergasse;48.2222136;16.3634222;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
81;Pramergasse 69;69;51;;;Pramergasse;48.2221777;16.3637908;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
82;Pramergasse 70;70;50;;;Pramergasse;48.2221557;16.3641021;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
