id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
251;Karlsgasse 250;250;220;125;;Karlsgasse;Magistrat der Stadt Wien;48.2245179;16.356604;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
252;Karlsgasse 251;251;219;124;;Karlsgasse;Magistrat der Stadt Wien;48.2243425;16.3564672;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
253;Karlsgasse 252;252;218;123;;Karlsgasse;Magistrat der Stadt Wien;48.2241637;16.3563278;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
254;Lange Gasse 253;253;224;141;;Lange Gasse;Magistrat der Stadt Wien;48.2240072;16.3562581;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
255;Karlsgasse 254;254;225;140;;Karlsgasse;Magistrat der Stadt Wien;48.224272;16.3570067;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
256;Karlsgasse 255;255;226;129;;Karlsgasse;Magistrat der Stadt Wien;48.2244457;16.3569705;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
257;Karlsgasse 256;256;227;130;;Karlsgasse;Magistrat der Stadt Wien;48.2240914;16.3565317;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
258;Karlsgasse 257;257;228;131;;Karlsgasse;Magistrat der Stadt Wien;48.2238782;16.3564414;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
259;Karlsgasse 258;258;229;85;;Karlsgasse;Stift Schotten;48.2235274;16.3566556;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
260;Karlsgasse 259;259;230;;K. K. Waisenhaus;Karlsgasse;Stift Schotten;48.2231543;16.3564595;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
261;Karlsgasse 260;260;231;;K. K. Waisenhaus;Karlsgasse;Stift Schotten;48.2223151;16.3563691;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
262;Karlsgasse 261;261;217;122;Zum k. k. Waisenhaus gehörig;Karlsgasse;Stift Schotten;48.2225489;16.3561626;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
263;Karlsgasse 262;262;216;121;;Karlsgasse;Stift Schotten;48.2220881;16.3561755;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
264;Karlsgasse 263;263;232;132;;Karlsgasse;Stift Schotten;48.2221018;16.3563717;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
265;Strudlhof 264;264;233;242;;Strudlhof;Stift Schotten;48.2220949;16.3568415;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
266;Strudlhof 265;265;234;227;;Strudlhof;Stift Schotten;48.2221741;16.3572854;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
267;Strudlhof 266;266;235;228;;Strudlhof;Stift Schotten;48.2219625;16.3574764;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
268;Strudlhof 267;267;236;229;;Strudlhof;Stift Schotten;48.2219041;16.3570738;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
269;Strudlhof 268;268;237;230;;Strudlhof;Stift Schotten;48.2218765;16.3566969;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
270;Karlsgasse 269;269;238;231;;Karlsgasse;Stift Schotten;48.2216272;16.356635;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
271;Karlsgasse 270;270;239;133;;Karlsgasse;Stift Schotten;48.2212463;16.3568879;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
272;Karlsgasse 270;270;239;133;;Karlsgasse;Stift Schotten;48.2205945;16.356937;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
273;Karlsgasse 271;271;215;120;Versorgungshaus, sogenannt Bäckenhäusel;Karlsgasse;Stift Schotten;48.220199;16.3565679;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
274;Währingergasse 272;272;240;145;;Währingergasse;Stift Schotten;48.2203727;16.3568673;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
275;Währingergasse 272;272;240;145;;Währingergasse;Stift Schotten;48.2194698;16.3573009;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
276;Währingergasse 273;273;241;134;;Währingergasse;Stift Schotten;48.2191929;16.3575771;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
277;Währingergasse 274;274;248;;;Währingergasse;Stift Schotten;48.2188301;16.3579384;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
278;Währingergasse 275;275;242;135;;Währingergasse;Stift Schotten;48.2185343;16.3582224;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
279;Währingergasse 276;276;243;136;;Währingergasse;Stift Schotten;48.2181404;16.3591232;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
280;3 Mohrengasse 277;277;244;137;;3 Mohrengasse;Stift Schotten;48.2195231;16.3606951;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
281;3 Mohrengasse 278;278;245;138;;3 Mohrengasse;Stift Schotten;48.2199393;16.3605196;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
