id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
13;Schloßplatz 160;160;149;71;Stadtmagistratisches Bräuhaus-Binderei;Schloßplatz;Magistrat der Stadt Wien;Margarethen;48.1917237;16.3576615;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
14;Schloßplatz 159;159;148;70;;Schloßplatz;Magistrat der Stadt Wien;Margarethen;48.1917886;16.3574083;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
15;Schloßplatz 158;158;147;69;;Schloßplatz;Magistrat der Stadt Wien;Margarethen;48.1918574;16.3571762;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
16;Bräuhausgasse 91;91;84;14;;Bräuhausgasse;Magistrat der Stadt Wien;Margarethen;48.191744;16.357039;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
17;Lange Gasse 92;92;85;15;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1918613;16.3566721;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
18;Lange Gasse 157;157;146;68;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1921309;16.3566897;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
19;Stärkmachergasse 139;139;128;49;;Stärkmachergasse;Magistrat der Stadt Wien;Margarethen;48.1921864;16.356501;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
20;Lange Gasse 140;140;129;50;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1923356;16.3567061;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
21;Lange Gasse 144;144;133;97;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1924411;16.3568538;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
22;Lange Gasse 156;156;145;67;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.192234;16.3568093;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
23;Lange Gasse 155;155;144;66;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1923348;16.356923;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
24;Lange Gasse 154;154;143;65;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1924263;16.3570496;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
25;Lange Gasse 153;153;142;64;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1925068;16.3571692;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
26;Lange Gasse 152;152;141;63;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1925998;16.3573004;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
27;Lange Gasse 142;142;131;51;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1926841;16.3571821;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
28;Lange Gasse 143;143;132;52;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1928029;16.357345;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
29;Lange Gasse 144;144;133;97;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1928662;16.3574458;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
30;Lange Gasse 145;145;134;53;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1929319;16.3575372;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
31;Lange Gasse 151;151;140;62;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1926857;16.35742;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
32;Lange Gasse 150;150;139;61;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1927607;16.3575267;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
33;Lange Gasse 149;149;138;60;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1928443;16.3576521;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
34;Lange Gasse 148;148;137;59;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1929412;16.3578022;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
35;Lange Gasse 147;147;136;58;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1930311;16.3579686;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
36;Lange Gasse 146;146;135;57;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.193103;16.3581585;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
37;Lange Gasse 123;123;113;38;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1919394;16.3562653;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
38;Lange Gasse 122;122;112;37;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1917378;16.3561223;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
39;Lange Gasse 121;121;111;36;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1915643;16.3560028;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
40;Lange Gasse 120;120;110;35;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1914635;16.3559301;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
41;Lange Gasse 119;119;109;34;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1913627;16.3558515;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
42;Lange Gasse 96;96;89;19;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1913494;16.3560567;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
43;Lange Gasse 95;95;88;18;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1914807;16.3561645;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
44;Lange Gasse 94;94;87;17;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1916057;16.3562665;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
45;Lange Gasse 93;93;86;16;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1917394;16.3563861;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
46;Lange Gasse 118;118;108;33;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1912212;16.3557542;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
47;Lange Gasse 97;97;90;20;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1910814;16.3558433;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
48;Lange Gasse 98;98;91;21;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1909641;16.3557425;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
49;Lange Gasse 99;99;92;22;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1908641;16.3556136;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
50;Lange Gasse 100;100;93;23;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1907547;16.3554565;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
51;Lange Gasse 117;117;107;32;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1910767;16.3555948;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
52;Lange Gasse 101;101;94;24;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1906797;16.3552971;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
53;Lange Gasse 102;102;95;25;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1906062;16.3551048;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
54;Lange Gasse 103;103;96;26;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1905453;16.354929;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
55;Lange Gasse 104;104;97;27;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.190489;16.3547578;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
56;Lange Gasse 105;105;98;28;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1903811;16.3544718;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
57;Lange Gasse 106;106;99;29;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1902905;16.3541318;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
58;Lange Gasse 115;115;105;31;Stadtmagistrat;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1905265;16.354228;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
59;Lange Gasse 116;116;106;144;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1906453;16.3546406;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
60;An der Wien 128;128;118;147;;An der Wien;Magistrat der Stadt Wien;Margarethen;48.1911267;16.354514;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
61;An der Wien 129;129;119;146;;An der Wien;Magistrat der Stadt Wien;Margarethen;48.1910751;16.3543804;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
62;An der Wien 130;130;120;145;;An der Wien;Magistrat der Stadt Wien;Margarethen;48.1908766;16.3541225;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
63;Lange Gasse 107;107;163;;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1902686;16.3538411;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
64;Lange Gasse 108;108;168;;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1902045;16.3536184;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
65;Lange Gasse 109;109;100;30;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.190081;16.3534238;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
66;Lange Gasse 110;110;164;;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1899185;16.3532409;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
