id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
146;Lederergasse 148;148;142;127;;Lederergasse;Magistrat der Stadt Wien;48.2103245;16.3487211;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
147;Lederergasse 149;149;143;130;;Lederergasse;Magistrat der Stadt Wien;48.2104984;16.3487021;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
148;Lederergasse 150;150;144;126;;Lederergasse;Magistrat der Stadt Wien;48.2106596;16.3486831;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
149;Lederergasse 151;151;145;125;;Lederergasse;Magistrat der Stadt Wien;48.2109158;16.348657;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
150;Lederergasse 152;152;187;;;Lederergasse;Magistrat der Stadt Wien;48.2110881;16.3486428;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
151;Lederergasse 153;153;147;224;;Lederergasse;Magistrat der Stadt Wien;48.2112636;16.3486262;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
152;Lederergasse 154;154;148;223;;Lederergasse;Magistrat der Stadt Wien;48.2118912;16.3484767;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
153;Florianigassse 155;155;149;132;;Florianigassse;Magistrat der Stadt Wien;48.2119196;16.3481754;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
154;Fuhrmannsgasse 156;156;146;131;;Fuhrmannsgasse;Magistrat der Stadt Wien;48.2110833;16.3481446;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
155;Fuhrmannsgasse 157;157;150;133;;Fuhrmannsgasse;Magistrat der Stadt Wien;48.2118738;16.3478789;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
