ID;primäres_Label_viecpro;Adresse;alternatives_label_adress1822;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Latitude;Longitude;Stadtviertel
262;Jakobergasse, Knäfflisches Haus;Jakobergassel 807;807;857;904;Kraft'sches Stifthaus;Jakobergassel;Magistrat der Stadt Wien;48.20647033;16.37711007;Kärntnerviertel
263;Jakobergasse, Coranthisches Haus;Jakobergassel 808;808;858;905;;Jakobergassel;Magistrat der Stadt Wien;48.20662047;16.37714789;Kärntnerviertel
264;Jakobergasse, Zieglerisches Haus;Jakobergassel 809;809;859;906;;Jakobergassel;Magistrat der Stadt Wien;48.206929;16.3770622;Kärntnerviertel
265;Jakobergasse, Gruenfelsisches Haus;Jakobergassel 810;810;860;907;;Jakobergassel;Magistrat der Stadt Wien;48.206929;16.3770622;Kärntnerviertel
266;Riemergasse, Zum weißen Stiefel;Riemerstraße 811;811;861;908;;Riemerstraße;Magistrat der Stadt Wien;48.2070185;16.3768001;Kärntnerviertel
267;Riemergasse, Schmidtisches Haus;Riemerstraße 812;812;862;909;;Riemerstraße;Magistrat der Stadt Wien;48.20685828;16.37658386;Kärntnerviertel
268;Riemergasse, Haslmannisches Haus;Riemerstraße 813;813;863;910;;Riemerstraße;Magistrat der Stadt Wien;48.20668184;16.37643422;Kärntnerviertel
269;Riemerstraße, Fabricisches Haus;Riemerstraße 815;815;865;912;;Riemerstraße;Magistrat der Stadt Wien;48.20640567;16.37619249;Kärntnerviertel
270;Riemergasse, Urschenbecksches Haus;Riemerstraße 816;816;866;899;;Riemerstraße;Stift Schotten;48.20648129;16.37603463;Kärntnerviertel
271;Riemergasse, Wenisches Haus;Riemerstraße 819;819;869;900;;Riemerstraße;Magistrat der Stadt Wien;48.2070141;16.3764508;Kärntnerviertel
272;Riemerstraße, Daunisches Haus;Riemerstraße 820;820;870;901;;Riemerstraße;Magistrat der Stadt Wien;48.2071377;16.376615;Kärntnerviertel
273;Riemergasse, Zur goldenen Ente;Große Schullerstraße 822;822;872;838;;Große Schullerstraße;Stift Schotten;48.20760568;16.37696865;Kärntnerviertel
274;Schulerstraße, Inamisches Haus;Große Schullerstraße 824;824;874;840;;Große Schullerstraße;Magistrat der Stadt Wien;48.2078724;16.376337;Kärntnerviertel
275;Ksl. Klepperstall;Kumpfgasse 826;826;876;891;;Kumpfgasse;Magistrat der Stadt Wien;48.2075023;16.3760112;Kärntnerviertel
276;Kumpfgasse, Farberisches Haus;Kumpfgasse 827;827;877;892;;Kumpfgasse;Magistrat der Stadt Wien;48.20723198;16.37589979;Kärntnerviertel
277;Kleiner Ramhof;Kumpfgasse 829;829;879;894;;Kumpfgasse;Stift Schotten;48.20688239;16.37580935;Kärntnerviertel
278;Am grünen Anger, Breunerisches Haus;Kumpfgasse 832;832;882;889;;Kumpfgasse;Magistrat der Stadt Wien;48.2074979;16.3755519;Kärntnerviertel
279;Neuburgerhof;Grünangergasse 833;833;883;883;;Grünangergasse;Ständisch frei;48.20798375;16.37604121;Kärntnerviertel
280;Am grünen Anger, Benefiziatenhaus;Grünangergasse 835;835;885;885;;Grünangergasse;Magistrat der Stadt Wien;48.20736677;16.37538674;Kärntnerviertel
281;Am grünen Anger, Mayrhofferisches Haus;Sackgässel 839;839;889;875;;Sackgässel;Magistrat der Stadt Wien;48.2075501;16.3748468;Kärntnerviertel
282;Am grünen Anger, Küpfelbeckisches Haus;Grünangergasse 841;841;891;877;;Grünangergasse;Magistrat der Stadt Wien;48.2074875;16.375211;Kärntnerviertel
283;;Grünangergasse 836;836;886;1358;;Grünangergasse;Magistrat der Stadt Wien;48.20715417;16.37470266;Kärntnerviertel
284;Kleiner Bischofshof;Kleine Schulerstraße 845;845;895;881;;Kleine Schulerstraße;Magistrat der Stadt Wien;48.2079149;16.3751468;Kärntnerviertel
285;Trienterhof;Kleine Schulerstraße 846;846;896;882;;Kleine Schulerstraße;Magistrat der Stadt Wien;48.2080256;16.3747992;Kärntnerviertel
286;;Nikolausgasse 837;837;887;1359;;Nikolausgasse;Magistrat der Stadt Wien;48.20735143;16.37457605;Kärntnerviertel
287;Juristenschule;Kleine Schulerstraße 850;850;900;843;;Kleine Schulerstraße;Magistrat der Stadt Wien;48.20810978;16.37576495;Kärntnerviertel
288;;Singerstraße 897;897;953;929;;Singerstraße;Magistrat der Stadt Wien;48.20746321;16.37312239;Kärntnerviertel
289;;Seilerstätte 801;801;848;913;;Seilerstätte;Magistrat der Stadt Wien;48.20613388;16.37682394;Kärntnerviertel
