id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;Latitude;Longitude;reference;Viertel
446;Mariahilfer Hauptstraße 73;73;66;65;;Mariahilfer Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1964878;16.3434209;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
447;Mariahilfer Hauptstraße 74;74;67;66;;Mariahilfer Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1964744;16.3438988;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
448;Mariahilfer Hauptstraße 75;75;68;67;;Mariahilfer Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1959633;16.3445584;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
449;Mariahilfer Hauptstraße 76;76;69;68;;Mariahilfer Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.195858;16.3446837;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
450;Mariahilfer Hauptstraße 77;77;70;;;Mariahilfer Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1956218;16.3449181;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
451;Kleine Steingasse 78;78;91;;;Kleine Steingasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1953432;16.3452034;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
452;Kleine Steingasse 79;79;92;;;Kleine Steingasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1950307;16.3453506;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
453;Kleine Steingasse 80;80;103;;;Kleine Steingasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1949338;16.3450126;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
454;Kleine Steingasse 81;81;102;;;Kleine Steingasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1948539;16.344771;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
455;Kleine Steingasse 82;82;71;69;;Kleine Steingasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1946492;16.3448582;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
456;Kleine Steingasse 83;83;72;70;;Kleine Steingasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1944941;16.3450326;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
457;Kleine Steingasse 84;84;73;71;;Kleine Steingasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1943452;16.3451798;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
458;Kleine Steingasse 85;85;74;72;;Kleine Steingasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1942107;16.3453306;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
459;Kleine Steingasse 86;86;75;73;;Kleine Steingasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1940763;16.345476;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
460;Kleine Steingasse 87;87;76;74;;Kleine Steingasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1939612;16.345605;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
461;Kleine Steingasse 88;88;77;75;;Kleine Steingasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1938825;16.3456867;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
