id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
435;Matzleinsdorfer Hauptstraﬂe 2;2;2;;Stadtmagister Schulhaus;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1850839;16.3630867;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
447;Matzleinsdorfer Hauptstraﬂe 53;53;51;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1854966;16.3623458;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
448;Matzleinsdorfer Hauptstraﬂe 54;54;52;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1856201;16.3624349;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
449;Matzleinsdorfer Hauptstraﬂe 55;55;53;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.185706;16.3625076;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
450;Matzleinsdorfer Hauptstraﬂe 56;56;54;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1857779;16.3625826;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
451;Matzleinsdorfer Hauptstraﬂe 57;57;55;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1858999;16.3627139;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
488;Siebenbrunnerwiese 102;102;84;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1831565;16.3506233;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
489;Siebenbrunnerwiese 101;101;85;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1828908;16.3505084;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
490;Siebenbrunnerwiese 103;103;83;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1833207;16.3509351;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
491;Siebenbrunnerwiese 104;104;82;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1835239;16.3511836;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
492;Siebenbrunnerwiese 105;105;81;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1836411;16.3513407;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
493;Siebenbrunnerwiese 106;106;80;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1837802;16.3515283;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
494;Siebenbrunnerwiese 107;107;79;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1839115;16.3517275;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
495;Siebenbrunnerwiese 120;120;;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1840991;16.351901;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
496;Siebenbrunnerwiese 119;119;;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1842867;16.3522105;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
497;Siebenbrunnerwiese 118;118;;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.184554;16.3526278;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
498;Siebenbrunnerwiese 113;113;;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.184751;16.3533441;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
499;Siebenbrunnerwiese 114;114;;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1846798;16.353146;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
500;Siebenbrunnerwiese 112;112;;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1850237;16.3538095;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
501;Siebenbrunnerwiese 116;116;;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1853684;16.3529197;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
502;Einsiedlergasse 121;121;;;;Einsiedlergasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1855763;16.3493678;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
503;Einsiedlergasse 126;126;;;;Einsiedlergasse;Magistrat der Stadt Wien;Matzleinsdorf;48.185334;16.3495413;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
504;Florianigasse 127;127;;;;Florianigasse;Magistrat der Stadt Wien;Matzleinsdorf;48.1860515;16.3526173;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
505;Siebenbrunnerwiese 117;117;;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1858436;16.3525376;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
506;Siebenbrunnerwiese 128;128;;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1849761;16.3534332;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
507;Reinprechtsdorfer-Straﬂe 90;90;106;;;Reinprechtsdorfer-Straﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1863422;16.3532503;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
508;Reinprechtsdorfer-Straﬂe 89;89;103;;;Reinprechtsdorfer-Straﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1862391;16.3533464;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
509;Siebenbrunnerwiese 115;115;;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1862062;16.3522562;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
511;Siebenbrunnerwiese 109;109;;;;Siebenbrunnerwiese;Magistrat der Stadt Wien;Matzleinsdorf;48.1824001;16.3536373;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
