id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Viertel;Latitude;Longitude;reference
921;Altlerchenfelder-Hauptstraﬂe 80;80;65;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2077118;16.3431444;Behsel Stadtplan, WStLA, P1: 295/12G
922;Altlerchenfelder-Hauptstraﬂe 81;81;66;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2076897;16.343249;Behsel Stadtplan, WStLA, P1: 295/12G
923;Altlerchenfelder-Hauptstraﬂe 82;82;67;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2076711;16.3433502;Behsel Stadtplan, WStLA, P1: 295/12G
924;Altlerchenfelder-Hauptstraﬂe 83;83;68;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2076525;16.3434444;Behsel Stadtplan, WStLA, P1: 295/12G
925;Altlerchenfelder-Hauptstraﬂe 84;84;69;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.20762;16.3435909;Behsel Stadtplan, WStLA, P1: 295/12G
926;Altlerchenfelder-Hauptstraﬂe 85;85;70;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2075874;16.3437688;Behsel Stadtplan, WStLA, P1: 295/12G
927;Altlerchenfelder-Hauptstraﬂe 86;86;71;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2075421;16.3439293;Behsel Stadtplan, WStLA, P1: 295/12G
928;Altlerchenfelder-Hauptstraﬂe 87;87;72;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2075142;16.3440461;Behsel Stadtplan, WStLA, P1: 295/12G
929;Altlerchenfelder-Hauptstraﬂe 88;88;73;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2074933;16.3441334;Behsel Stadtplan, WStLA, P1: 295/12G
930;Altlerchenfelder-Hauptstraﬂe 89;89;74;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2074723;16.3442031;Behsel Stadtplan, WStLA, P1: 295/12G
931;Altlerchenfelder-Hauptstraﬂe 90;90;75;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2074491;16.3442799;Behsel Stadtplan, WStLA, P1: 295/12G
932;Altlerchenfelder-Hauptstraﬂe 91;91;76;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.207434;16.3443636;Behsel Stadtplan, WStLA, P1: 295/12G
933;Altlerchenfelder-Hauptstraﬂe 92;92;77;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2073991;16.3444944;Behsel Stadtplan, WStLA, P1: 295/12G
934;Alleegasse 93;93;187;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2073491;16.3446845;Behsel Stadtplan, WStLA, P1: 295/12G
935;Alleegasse 94;94;199;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.207663;16.3447909;Behsel Stadtplan, WStLA, P1: 295/12G
936;Alleegasse 95;95;208;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2078652;16.3448084;Behsel Stadtplan, WStLA, P1: 295/12G
937;Alleegasse 96;96;217;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2080164;16.3448136;Behsel Stadtplan, WStLA, P1: 295/12G
938;Alleegasse 97;97;;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2082942;16.3448206;Behsel Stadtplan, WStLA, P1: 295/12G
939;Alleegasse 98;98;192;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2085732;16.3448101;Behsel Stadtplan, WStLA, P1: 295/12G
940;Alleegasse 99;99;200;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2087034;16.3448084;Behsel Stadtplan, WStLA, P1: 295/12G
941;Alleegasse 100;100;201;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2088091;16.3447979;Behsel Stadtplan, WStLA, P1: 295/12G
942;Alleegasse 101;101;189;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2089509;16.3447979;Behsel Stadtplan, WStLA, P1: 295/12G
943;Alleegasse 102;102;193;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2091021;16.3447752;Behsel Stadtplan, WStLA, P1: 295/12G
944;Alleegasse 103;103;194;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2092741;16.3447578;Behsel Stadtplan, WStLA, P1: 295/12G
945;Alleegasse 104;104;211;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2094392;16.3447456;Behsel Stadtplan, WStLA, P1: 295/12G
946;Alleegasse 105;105;202;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2096065;16.3447369;Behsel Stadtplan, WStLA, P1: 295/12G
947;Alleegasse 106;106;203;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2097728;16.3447299;Behsel Stadtplan, WStLA, P1: 295/12G
948;Alleegasse 107;107;214;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2099425;16.3447194;Behsel Stadtplan, WStLA, P1: 295/12G
949;Alleegasse 108;108;198;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2101889;16.3446968;Behsel Stadtplan, WStLA, P1: 295/12G
950;Alleegasse 109;109;190;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2102586;16.3448694;Behsel Stadtplan, WStLA, P1: 295/12G
951;Alleegasse 110;110;197;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.210075;16.3448869;Behsel Stadtplan, WStLA, P1: 295/12G
952;Alleegasse 111;111;196;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2099448;16.3448921;Behsel Stadtplan, WStLA, P1: 295/12G
953;Alleegasse 112;112;195;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2098227;16.3449096;Behsel Stadtplan, WStLA, P1: 295/12G
954;Alleegasse 113;113;204;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2096972;16.344913;Behsel Stadtplan, WStLA, P1: 295/12G
955;Alleegasse 114;114;;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2095449;16.3449287;Behsel Stadtplan, WStLA, P1: 295/12G
956;Alleegasse 115;115;210;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2093752;16.3449375;Behsel Stadtplan, WStLA, P1: 295/12G
957;Alleegasse 116;116;105;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2092299;16.3449462;Behsel Stadtplan, WStLA, P1: 295/12G
958;Alleegasse 117;117;209;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2090021;16.3449636;Behsel Stadtplan, WStLA, P1: 295/12G
959;Alleegasse 118;118;228;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2088359;16.3449758;Behsel Stadtplan, WStLA, P1: 295/12G
960;Alleegasse 119;119;227;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2087219;16.3449863;Behsel Stadtplan, WStLA, P1: 295/12G
961;Alleegasse 120;120;;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2085918;16.3450003;Behsel Stadtplan, WStLA, P1: 295/12G
962;Alleegasse 121;121;191;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2083918;16.3450142;Behsel Stadtplan, WStLA, P1: 295/12G
963;Alleegasse 122;122;212;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2081617;16.3450229;Behsel Stadtplan, WStLA, P1: 295/12G
964;Alleegasse 123;123;216;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2079861;16.345009;Behsel Stadtplan, WStLA, P1: 295/12G
965;Alleegasse 124;124;215;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2078432;16.3450003;Behsel Stadtplan, WStLA, P1: 295/12G
