id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
273;Altwiedener Hauptstraße 210;210;154;51;;Altwiedener Hauptstraße;"Magistrat der Stadt Wien;Herrschaft Seegenthal";Wieden;48.1909571;16.3668776;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
274;Altwiedener Hauptstraße 211;211;544;;;Altwiedener Hauptstraße;"Magistrat der Stadt Wien;Herrschaft Seegenthal";Wieden;48.1903988;16.3665761;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
275;Altwiedener Hauptstraße 212;212;155;;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.188905;16.3654952;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
276;Trappelgasse 213;213;560;;;Trappelgasse;Magistrat der Stadt Wien;Wieden;48.1884744;16.3658545;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
277;Trappelgasse 214;214;576;;;Trappelgasse;Magistrat der Stadt Wien;Wieden;48.1881547;16.366049;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
278;Trappelgasse 215;215;575;;;Trappelgasse;Magistrat der Stadt Wien;Wieden;48.1884131;16.3656288;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
279;Trappelgasse 216;216;547;;;Trappelgasse;Magistrat der Stadt Wien;Wieden;48.1885606;16.3654372;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
280;Altwiedener Hauptstraße 217;217;585;;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1886328;16.365265;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
281;Altwiedener Hauptstraße 218;218;548;;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1879814;16.3648685;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
282;Blecherne Thurmgasse 219;219;549;;;Blecherne Thurmgasse;Magistrat der Stadt Wien;Wieden;48.1875271;16.3653155;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
283;Blechernes Thurmfeld 220;220;153;50;;Blechernes Thurmfeld;Magistrat der Stadt Wien;Wieden;48.1877201;16.3659525;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
284;Blechernes Thurmfeld 221;221;157;437;;Blechernes Thurmfeld;"Magistrat der Stadt Wien;Pfarre zu Hütteldorf";Wieden;48.1883685;16.3680085;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
285;Blechernes Thurmfeld 223;223;156;422;;Blechernes Thurmfeld;Pfarre zu Hütteldorf;Wieden;48.1872053;16.3656362;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
286;Altwiedener Hauptstraße 224;224;159;53;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1877993;16.364576;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
