id;Hausnummer;Vorstadt;Latitude;Longitude;reference;Viertel;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Adresse
598;120;Spittelberg, Mariahilf;48.2004911;16.352208;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;84;;;Leopoldigasse;Domkapitel;Leopoldigasse 120
599;121;Spittelberg, Mariahilf;48.2001198;16.3524876;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;56;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 121
600;122;Spittelberg, Mariahilf;48.2001609;16.3527342;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;60;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 122
601;123;Spittelberg, Mariahilf;48.200292;16.3526891;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;59;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 123
602;124;Spittelberg, Mariahilf;48.2004311;16.3526299;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;58;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 124
603;125;Spittelberg, Mariahilf;48.2005606;16.3525635;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;57;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 125
604;126;Spittelberg, Mariahilf;48.2008023;16.3531727;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;83;;;Josephigasse;Domkapitel;Josephigasse 126
605;127;Spittelberg, Mariahilf;48.200864;16.3533789;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;82;;;Josephigasse;Domkapitel;Josephigasse 127
606;128;Spittelberg, Mariahilf;48.2009319;16.3536041;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;81;;;Josephigasse;Domkapitel;Josephigasse 128
607;129;Spittelberg, Mariahilf;48.2010077;16.3538387;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;80;;;Josephigasse;Domkapitel;Josephigasse 129
608;130;Spittelberg, Mariahilf;48.2010725;16.3540473;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;79;;;Josephigasse;Domkapitel;Josephigasse 130
609;131;Spittelberg, Mariahilf;48.2011388;16.3542677;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;78;;;Josephigasse;Domkapitel;Josephigasse 131
610;161;Spittelberg, Mariahilf;48.2011914;16.3544686;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Josephigasse;Domkapitel;Josephigasse 161
611;132;Spittelberg, Mariahilf;48.2012897;16.3541617;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;120;;;Josephigasse;Domkapitel;Josephigasse 132
612;133;Spittelberg, Mariahilf;48.2012242;16.3539483;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;119;;;Josephigasse;Domkapitel;Josephigasse 133
613;134;Spittelberg, Mariahilf;48.2011665;16.353735;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;118;;;Josephigasse;Domkapitel;Josephigasse 134
614;135;Spittelberg, Mariahilf;48.2011057;16.3535252;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;117;;;Josephigasse;Domkapitel;Josephigasse 135
615;136;Spittelberg, Mariahilf;48.2010425;16.3533001;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;116;;;Josephigasse;Domkapitel;Josephigasse 136
616;137;Spittelberg, Mariahilf;48.200973;16.3530749;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;115;;;Josephigasse;Domkapitel;Josephigasse 137
