id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
213;Hauptstraße 12;12;12;;;Hauptstraße;Fürst von und zu Liechtenstein;48.2264933;16.3565899;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
214;Hauptstraße 13;13;13;;;Hauptstraße;Fürst von und zu Liechtenstein;48.226354;16.3566544;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
215;Hauptstraße 14;14;14;;;Hauptstraße;Fürst von und zu Liechtenstein;48.2262335;16.3567112;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
216;Hauptstraße 15;15;15;;;Hauptstraße;Fürst von und zu Liechtenstein;48.2261217;16.3567732;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
217;Hauptstraße 16;16;16;;;Hauptstraße;Fürst von und zu Liechtenstein;48.2260116;16.3568249;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
218;Hauptstraße 17;17;17;;;Hauptstraße;Fürst von und zu Liechtenstein;48.2258722;16.3569179;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
219;Hauptstraße 18;18;18;;;Hauptstraße;Fürst von und zu Liechtenstein;48.2257328;16.356985;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
220;Salzergasse 19;19;19;;;Salzergasse;Fürst von und zu Liechtenstein;48.2259685;16.3578063;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
221;Salzergasse 20;20;20;;;Salzergasse;Fürst von und zu Liechtenstein;48.2258808;16.3575093;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
222;Salzergasse 21;21;21;;;Salzergasse;Fürst von und zu Liechtenstein;48.2259634;16.357468;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
223;Salzergasse 22;22;22;;;Salzergasse;Fürst von und zu Liechtenstein;48.2260425;16.3574344;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
224;Salzergasse 23;23;23;;;Salzergasse;Fürst von und zu Liechtenstein;48.2261165;16.3573983;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
225;Salzergasse 24;24;24;;;Salzergasse;Fürst von und zu Liechtenstein;48.2261871;16.3573699;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
226;Salzergasse 25;25;25;;;Salzergasse;Fürst von und zu Liechtenstein;48.2262731;16.3573259;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
227;Salzergasse 26;26;26;;;Salzergasse;Fürst von und zu Liechtenstein;48.2263712;16.3572898;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
228;Salzergasse 27;27;27;;;Salzergasse;Fürst von und zu Liechtenstein;48.2264606;16.3572459;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
229;Salzergasse 28;28;28;;;Salzergasse;Fürst von und zu Liechtenstein;48.2265518;16.3572046;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
230;Salzergasse 29;29;29;;;Salzergasse;Fürst von und zu Liechtenstein;48.2266275;16.3571632;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
231;Salzergasse 30;30;30;;;Salzergasse;Fürst von und zu Liechtenstein;48.2266998;16.3571297;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
232;Salzergasse 31;31;31;;;Salzergasse;Fürst von und zu Liechtenstein;48.22676;16.3570909;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
233;Salzergasse 32;32;32;;;Salzergasse;Fürst von und zu Liechtenstein;48.2269028;16.3570367;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
234;Salzergasse 33;33;33;;;Salzergasse;Fürst von und zu Liechtenstein;48.2271231;16.3569334;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
235;Salzergasse 34;34;34;;;Salzergasse;Fürst von und zu Liechtenstein;48.2272383;16.3568765;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
236;Salzergasse 35;35;35;;;Salzergasse;Fürst von und zu Liechtenstein;48.2273244;16.3568378;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
237;Salzergasse 36;36;36;;;Salzergasse;Fürst von und zu Liechtenstein;48.2273966;16.3568094;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
238;Salzergasse 37;37;37;;;Salzergasse;Fürst von und zu Liechtenstein;48.2274637;16.3567887;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
239;Salzergasse 38;38;38;;;Salzergasse;Fürst von und zu Liechtenstein;48.2275498;16.35675;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
240;Salzergasse 39;39;39;;;Salzergasse;Fürst von und zu Liechtenstein;48.2276427;16.3567112;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
241;Salzergasse 40;40;40;;;Salzergasse;Fürst von und zu Liechtenstein;48.2278646;16.3566054;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
242;Salzergasse 41;41;41;;;Salzergasse;Fürst von und zu Liechtenstein;48.2279937;16.3565511;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
243;Salzergasse 42;42;42;;;Salzergasse;Fürst von und zu Liechtenstein;48.2280625;16.3567655;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
244;Kirchengasse 43;43;43;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2280866;16.3570703;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
245;Kirchengasse 44;44;44;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2279679;16.3571245;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
246;Kirchengasse 45;45;45;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2278457;16.3571787;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
247;Kirchengasse 46;46;46;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2277459;16.3572175;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
248;Kirchengasse 47;47;47;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2276478;16.3572614;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
249;Kirchengasse 48;48;48;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2275429;16.357313;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
250;Kirchengasse 49;49;49;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2274173;16.3573595;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
251;Kirchengasse 50;50;50;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2272745;16.3574215;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
252;Kirchengasse 51;51;51;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2269957;16.3575352;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
253;Kirchengasse 52;52;52;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2268753;16.3575894;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
254;Kirchengasse 53;53;53;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2267738;16.3576385;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
255;Kirchengasse 54;54;54;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2267032;16.357672;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
256;Kirchengasse 55;55;55;;;Kirchengasse;Fürst von und zu Liechtenstein;48.226643;16.3576979;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
257;Kirchengasse 56;56;56;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2265811;16.3577211;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
258;Kirchengasse 57;57;57;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2264968;16.3577599;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
259;Kirchengasse 58;58;58;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2264469;16.3577779;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
