id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Latitude;Longitude;reference;Viertel
217;Kochgasse 35;35;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2028962;16.3562199;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
218;Kochgasse 36;36;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2027685;16.3562654;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
219;Kochgasse 37;37;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2027003;16.3561045;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
220;Kochgasse 38;38;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2027587;16.3560899;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
221;Kochgasse 39;39;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2028388;16.3560672;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
222;Kochgasse 40;40;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2029655;16.3560233;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
223;Kochgasse 41;41;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2031376;16.355973;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
224;Kochgasse 42;42;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2033455;16.3559096;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
225;Kochgasse 43;43;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2034646;16.3558723;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
226;Kochgasse 44;44;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2035858;16.3558447;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
227;Kochgasse 45;45;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2036584;16.3558268;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
228;Kochgasse 46;46;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2037623;16.3557829;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
229;Kochgasse 47;47;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2038998;16.3557602;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
230;Kochgasse 48;48;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2039962;16.3557326;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
231;Kochgasse 49;49;;;;Kochgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2040579;16.3557131;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
232;Burggasse 50;50;;;;Burggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2041618;16.3556822;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
233;Burggasse 51;51;;;;Burggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2041423;16.3555312;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
234;Johannesgasse 52;52;;;;Johannesgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2038857;16.355614;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
235;Johannesgasse 53;53;;;;Johannesgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2035653;16.3556936;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
236;Johannesgasse 54;54;;;;Johannesgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2034635;16.3557115;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
237;Johannesgasse 55;55;;;;Johannesgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.203195;16.3557894;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
238;Johannesgasse 56;56;;;;Johannesgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2030413;16.3558089;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
